Date;Balance;Details
01-07-23;-58;olives aperitif
01-08-23;-45;Party expenses
01-09-23;-26;doctor bill
01-10-23;-100;Nice Cheese
01-11-23;-45;lot of apples
01-12-23;-26;Nice Cheese
01-01-24;-100;Padel
01-02-24;-56;parking bill
01-03-24;-26;Party expenses
01-04-24;-100;tomatoes
01-05-24;-26;Nice Cheese
01-06-24;-56;parking bill
01-07-24;-50;lot of apples
01-08-24;-50;Party expenses
01-09-24;-488;fuels
01-10-24;-100;pool
01-01-23;-58;water bill
01-02-23;-58;water bill
01-07-23;-58;water bill
01-08-23;-58;water bill
01-09-23;-58;water bill
01-10-23;-58;water bill
01-11-23;-58;water bill
01-12-23;-58;water bill
01-06-24;-58;water bill
01-07-24;-58;water bill
01-08-24;-58;water bill
01-09-24;-58;water bill
01-10-24;-58;water bill
01-06-24;-1500;Crowdlending OS
01-01-23;-8;Phone bill
01-02-23;-8;Phone bill
01-07-23;-8;Phone bill
01-08-23;-8;Phone bill
01-09-23;-8;Phone bill
01-10-23;-8;Phone bill
01-11-23;-8;Phone bill
01-12-23;-8;Phone bill
01-06-24;-8;Phone bill
01-07-24;-8;Phone bill
01-08-24;-8;Phone bill
01-09-24;-8;Phone bill
01-10-24;-8;Phone bill
01-01-23;-12;internet
01-02-23;-12;Phone bill
01-07-23;-12;Phone bill
01-08-23;-12;Phone bill
01-09-23;-12;Phone bill
01-10-23;-12;Phone bill
01-11-23;-12;Phone bill
01-12-23;-12;Phone bill
01-06-24;-12;Phone bill
01-07-24;-12;Phone bill
01-08-24;-12;Phone bill
01-09-24;-12;Phone bill
01-10-24;-12;Phone bill
01-10-23;-18;specialexpense
